Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
ADORA3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
ADRA1A,0,27,0,0,0,0,0,23,0,0,0,0,0,0,0
ADRA1B,0,24,0,0,0,0,0,20,0,0,0,0,0,0,0
ADRA1D,0,20,0,0,0,0,0,21,0,0,0,0,0,0,0
ADRA2A,0,31,0,0,0,0,0,17,0,0,0,0,0,0,0
ADRA2B,0,27,0,0,0,0,0,14,0,0,0,0,0,0,0
ADRA2C,0,28,0,0,0,0,0,15,0,0,0,0,0,0,0
ADRB1,0,15,0,0,0,0,0,31,0,0,0,0,0,0,0
ADRB2,0,52,0,0,0,0,0,20,0,0,0,0,0,0,0
ADRB3,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0
ADRM1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ADSS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEBP1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
AFF2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AFG2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AGAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGER,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGPAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AGTR1,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGTRL2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AHRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHSA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AICDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRE,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0
AK1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1A1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AKR1B1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
AKR1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1B1P2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AKR1C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR7A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0
AKT1S1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AKT2,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0
AKT3,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0
ALAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAS2,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0
ALB,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0
ALCAM,0,20,0,1,0,0,0,17,0,3,0,0,0,0,0
ALDH1A1,0,26,0,0,0,0,0,34,0,1,0,0,0,0,0
ALDH1A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH1A3,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0
ALDH1B1,0,7,0,0,0,0,0,21,0,0,0,0,0,0,0
ALDH1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH2,0,13,0,0,0,0,0,29,0,0,0,0,0,0,0
ALDH3A1,0,17,0,0,0,0,0,13,0,0,0,0,0,0,0
ALDH3A2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
ALDH3B1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0
ALDH3B2,0,18,0,0,0,0,0,15,0,0,0,0,0,0,0
ALDH5A1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ALDH7A1,7,0,0,0,2,0,0,2,0,0,0,0,0,0,0
ALDH7A1P2,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0
ALDH7A1P3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ALDH7A1P4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ALDH9A1,0,38,0,0,0,0,0,6,0,1,0,0,0,0,0
ALDOA,0,10,0,0,0,0,0,3,0,1,0,0,0,0,0
ALDOB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALDRL2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALG10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
